year,country,gov_right1,gov_cent1,gov_left1,gov_party,elect,vturn,womenpar,realgdpgr,inflation,debt_hist,deficit,ttl_labf,labfopar,unemp,pop,pop15_64,pop65,elderly
1960,Australia,100,0,0,1,,95.5,0,,3.73,40.15,0.46,4215,,1.25,10275,6296.5,874.9,8.51
1961,Australia,100,0,0,1,9/12/1961,95.3,0,-0.64,2.29,38.62,-0.36,4286,,2.46,10508.2,6428.6,894.6,8.51
1962,Australia,100,0,0,1,,95.3,0,5.77,-0.32,38.75,-0.79,4382,,2.32,10700.5,6571.5,913.6,8.54
1963,Australia,100,0,0,1,30/11/1963,95.7,0,6.01,0.64,37.34,-0.51,4484,,1.87,10906.9,6710.9,933,8.55
1964,Australia,100,0,0,1,,95.7,0,6.26,2.87,35.31,-0.08,4610.8,67.24,1.45,11121.6,6857.3,948.1,8.52
1965,Australia,100,0,0,1,,95.7,0,4.99,3.41,53.99,-0.73,4745.95,67.66,1.36,11340.9,7014.6,966.3,8.52
1966,Australia,100,0,0,1,26/11/1966,95.1,0.8,2.93,3.29,52.51,-1.81,4930.63,68.54,1.69,11599.5,7193.52,986.27,8.5
1967,Australia,100,0,0,1,,95.1,0.8,7.19,3.48,49.96,-1.81,5100.53,69.45,1.82,11799.08,7344.23,999.6,8.47
1968,Australia,100,0,0,1,,95.1,0.8,5.3,2.52,48.69,-1.35,5222.05,69.55,1.65,12008.63,7508.21,1014.01,8.44
1969,Australia,100,0,0,1,25/10/1969,95,0,6.25,3.28,45.5,-0.15,5367.73,69.8,1.57,12263.01,7689.76,1026.69,8.37
1970,Australia,100,0,0,1,,95,0,6.95,3.44,43.21,-0.07,5562.05,70.78,1.49,12507.35,7857.98,1043.75,8.35
1971,Australia,100,0,0,1,,95,0,3.86,6.14,39.89,-0.49,5707.93,69.36,1.74,13067.26,8229.62,1090.37,8.34
1972,Australia,96.45,0,3.55,2,2/12/1972,95.4,0,2.29,6.02,37.85,-0.89,5833.48,69.51,2.62,13303.66,8392.63,1118.31,8.41
1973,Australia,0,0,100,5,,95.4,0,4.36,9.09,33.78,-0.18,5974.3,69.93,1.89,13504.54,8543.09,1148.69,8.51
1974,Australia,0,0,100,5,18/05/1974,95.4,0.8,1.61,15.42,29.31,-1,6119.78,70.2,2.46,13722.57,8717.15,1181.16,8.61
1975,Australia,13.7,0,86.3,4,13/12/1975,95.4,0,2.42,15.16,29.19,-2.91,6237.83,70.39,4.77,13893,8861.8,1211.57,8.72
1976,Australia,100,0,0,1,,95.4,0,3.89,13.32,28.42,-3.02,6313.03,70.2,4.95,14033.08,8993.16,1252.83,8.93
1977,Australia,100,0,0,1,10/12/1977,95,0,1.48,12.31,27.4,-3.51,6428.1,70.32,5.91,14192.23,9141.01,1287.58,9.07
1978,Australia,100,0,0,1,,95,0,2.01,8,28.55,-4.18,6466.35,69.61,6.5,14359.25,9289.38,1326.81,9.24
1979,Australia,100,0,0,1,,95,0,4.62,9.12,29.19,-2.88,6589.04,69.89,6.12,14515.73,9427.57,1369.73,9.44
1980,Australia,100,0,0,1,18/10/1980,94.4,2.4,2.73,10.14,27.15,-2.28,6764.88,70.68,6.19,14695.36,9571.09,1413.28,9.62
1981,Australia,100,0,0,1,,94.4,2.4,4.18,9.49,24.09,-2.69,6881.34,70.63,5.88,14923.26,9742.72,1455,9.75
